
Marca temporal,"GENERO

",AÑO,"EDAD

","PREGUNTA_1

","PREGUNTA_2

","PREGUNTA_3
",PREGUNTA_4,"PREGUNTA_5

",PREGUNTA_6,PREGUNTA_7,"PREGUNTA_8
",PREGUNTA_9,"PREGUNTA_10

","PREGUNTA_11

","PREGUNTA_12

","PREGUNTA_13
","
 PREGUNTA_14
","PREGUNTA_15
","PREGUNTA_16

","PREGUNTA_17
","PREGUNTA_18
","PREGUNTA_19
","PREGUNTA_20
"
30/04/2024 13:01:41,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,,3,4
30/04/2024 16:51:47,1,2,1,3,3,1,4,1,3,4,3,1,4,3,2,1,1,4,1,5,,1,4
30/04/2024 16:53:08,1,1,3,5,1,2,2,3,1,4,5,5,1,2,1,1,2,2,1,3,,1,3
30/04/2024 16:54:10,1,3,2,3,4,1,2,1,2,1,2,3,1,2,,2,1,4,2,4,,1,2
30/04/2024 16:55:33,1,3,2,3,3,2,1,3,3,1,3,3,1,3,3,4,3,4,1,4,,1,2
30/04/2024 16:57:29,2,3,2,4,3,3,3,1,3,2,2,3,1,3,4,2,1,2,3,3,,1,2
30/04/2024 16:58:51,1,4,2,3,4,2,2,4,1,2,2,2,3,2,2,2,2,1,1,3,,1,2
30/04/2024 17:00:47,2,4,2,3,2,3,2,1,2,1,2,3,3,1,2,2,1,2,3,2,,1,2
30/04/2024 22:56:38,1,1,1,3,4,2,3,3,3,2,1,2,2,2,1,1,1,1,1,1,,2,1
30/04/2024 23:02:32,1,1,2,1,3,3,4,1,2,3,1,1,1,2,1,1,1,1,1,1,,2,1
30/04/2024 23:06:43,1,1,1,1,5,4,4,3,4,4,4,4,4,3,3,4,2,3,3,4,"Matematica, comunicacion",3,4
30/04/2024 23:09:06,1,1,1,2,3,2,3,2,3,2,3,2,3,2,3,,2,3,,2,comunicacion,2,2
30/04/2024 23:10:47,1,1,1,1,3,1,3,1,3,1,3,1,3,3,1,3,1,3,1,3,comunicacion,3,3
30/04/2024 23:13:07,1,1,1,4,2,4,3,4,2,4,3,4,2,4,3,4,,2,4,3,"comunicacion, triginometria",3,5
30/04/2024 23:36:11,1,1,1,5,4,5,4,5,4,4,4,4,3,3,4,3,3,3,4,3,,1,1
30/04/2024 23:39:16,2,2,1,3,3,3,3,2,4,2,4,4,5,2,4,5,4,3,4,3,,1,1
30/04/2024 23:43:15,1,2,1,2,1,1,3,2,3,1,4,2,3,4,3,2,3,3,4,3,,4,3
1/05/2024 13:24:31,2,2,2,3,4,3,3,3,3,3,2,2,2,3,1,2,,3,1,2,,2,2
1/05/2024 13:27:29,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,,1,1
1/05/2024 13:37:42,1,2,2,1,4,3,4,3,4,3,2,3,2,1,2,3,2,2,3,3,matematica ,2,1
1/05/2024 13:45:44,1,2,2,3,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,,1,5
1/05/2024 13:50:14,1,2,2,1,3,2,4,2,2,2,2,2,2,2,2,2,1,1,1,2,,2,2
1/05/2024 18:06:02,1,1,1,3,1,3,4,2,4,2,3,2,1,2,2,3,2,2,3,2,Trigonometría ,3,2
1/05/2024 18:07:43,1,1,2,2,2,3,2,3,4,2,3,1,1,2,2,3,3,4,2,4,Trigonometría ,3,3
1/05/2024 18:10:43,,3,1,2,3,2,3,3,2,3,3,2,3,4,4,1,3,1,4,1,Ninguno ,,1
1/05/2024 18:10:44,2,1,2,1,3,1,2,2,1,3,1,2,3,2,1,3,2,1,2,2,,1,3
1/05/2024 18:11:46,2,2,2,1,5,2,2,3,2,1,4,2,1,2,3,2,2,3,1,2,,2,2
1/05/2024 18:13:07,2,1,2,1,2,2,3,2,1,2,,2,2,3,1,2,1,1,2,2,,2,5
1/05/2024 18:16:25,2,1,1,2,5,2,2,2,1,2,3,1,2,3,2,3,2,1,2,3,,2,5
1/05/2024 18:17:38,1,1,1,3,2,2,3,2,2,2,3,2,2,3,2,3,,4,2,4,,2,5
1/05/2024 18:18:35,1,1,2,2,1,2,2,3,1,2,4,2,3,1,2,3,1,4,2,3,,4,2
1/05/2024 18:18:43,1,4,2,1,4,4,4,3,3,3,2,2,3,3,3,3,3,2,1,5,,3,1
1/05/2024 18:19:41,2,2,3,1,2,3,2,1,3,1,4,3,1,1,2,4,1,3,2,3,,4,2
1/05/2024 18:21:20,2,1,1,2,2,2,1,3,2,2,3,3,2,1,3,1,3,1,3,2,,2,1
1/05/2024 18:44:25,2,2,1,3,3,3,3,3,3,4,2,3,3,2,4,3,2,3,4,3,"Lenguaje, Matemáticas",3,1
2/05/2024 7:45:30,2,4,3,3,3,3,4,3,3,3,2,4,2,4,1,4,2,3,2,4,,3,1
2/05/2024 7:47:15,2,4,2,2,4,4,3,2,4,2,3,2,3,2,1,3,4,2,2,3,,2,3
2/05/2024 8:44:48,2,4,1,2,3,3,3,2,3,3,2,3,2,2,1,2,2,4,2,4,,2,1
2/05/2024 8:46:10,1,4,2,3,5,1,4,3,4,3,3,3,3,4,3,4,4,4,3,4,"Taller
Cálculo
Estática
Física
Matemática",2,1
2/05/2024 8:49:56,2,4,2,2,3,2,2,3,2,2,2,3,2,2,1,3,2,2,3,1,,2,1
2/05/2024 8:55:56,1,4,2,2,4,2,3,2,3,2,1,,2,1,1,2,1,1,1,1,Ninguno ,2,1
2/05/2024 8:57:33,1,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3
2/05/2024 9:14:46,1,4,3,4,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,Ninguno ,1,
2/05/2024 9:28:16,,,2,1,5,5,5,3,3,4,2,2,2,1,2,2,2,2,2,,,2,2
2/05/2024 9:32:24,2,3,2,2,3,1,4,2,3,,2,2,3,2,2,4,3,2,2,1,,3,2
2/05/2024 9:33:23,1,3,2,4,3,4,2,3,3,3,4,4,2,4,2,3,2,4,2,4,,2,1
2/05/2024 9:34:25,1,3,3,3,2,2,4,2,3,1,3,4,2,3,2,3,2,3,2,3,,2,1
2/05/2024 9:35:19,2,3,3,3,3,2,4,3,3,2,4,2,3,2,3,1,2,3,2,3,,3,1
2/05/2024 9:36:47,1,4,2,1,3,3,4,3,4,4,1,4,3,4,2,4,3,1,1,4,"Forense
Farmacología 
Seminario de Investigación ",3,1
2/05/2024 9:47:04,2,2,2,2,3,2,3,2,3,2,4,2,3,1,4,3,2,3,3,2,,3,4
2/05/2024 9:48:03,1,3,2,3,2,3,2,3,1,4,2,2,3,3,2,3,3,1,2,2,,2,1
2/05/2024 9:49:00,1,3,3,2,2,3,4,2,2,3,1,2,4,1,,2,3,1,2,4,,2,1
2/05/2024 9:50:17,1,3,2,3,2,2,1,3,2,1,1,4,2,4,2,3,2,4,1,2,,2,4
2/05/2024 10:03:01,1,4,2,1,5,4,4,3,4,4,2,1,1,1,1,1,1,1,1,3,"ATENCIÓN AL CLIENTE, FINANZAS, IDIOMAS, ESTADISTICAS, MARKETING",2,1
2/05/2024 10:56:02,2,2,2,1,2,2,3,2,4,1,2,2,4,2,3,1,4,2,3,3,,2,3
2/05/2024 10:57:57,2,2,1,2,3,2,3,3,2,3,2,4,2,1,3,3,2,4,2,3,,2,5
2/05/2024 10:58:46,2,2,1,2,3,2,3,1,4,3,2,4,1,3,2,4,1,3,1,2,,2,3
2/05/2024 11:04:30,2,4,2,4,1,4,5,5,5,5,5,3,4,5,5,4,4,3,3,3,"Logística 
Investigación de Mercado
Recursos Humanos 
Gestión de Ventas
Tesis",4,4
